3,201,102,is quiz on monday?,yes and you are cooked,2026-02-28 19:00
4,201,101,Will this topic be included in the midterm?,,2026-03-01 08:00
5,202,102,Can you share additional practice materials?,"Sure, I have uploaded materials to the class portal.",2026-03-02 09:07
6,203,103,Is there any makeup class for last week?,Makeup class is on Thursday at 2 PM.,2026-03-03 10:14
7,204,104,Could you clarify the assignment rubric?,,2026-03-04 11:21
8,205,105,When will quiz results be published?,Results will be published by next Monday.,2026-03-05 12:28
9,206,117,Will this topic be included in the midterm?,"Yes, it is included. Focus on Chapters 2-4.",2026-03-06 13:35
10,207,118,Can you share additional practice materials?,,2026-03-07 14:42
11,208,119,Is there any makeup class for last week?,Makeup class is on Thursday at 2 PM.,2026-03-08 15:49
12,209,120,Could you clarify the assignment rubric?,Please follow the rubric posted yesterday.,2026-03-09 16:56
13,210,121,When will quiz results be published?,,2026-03-10 17:03
14,211,124,Will this topic be included in the midterm?,"Yes, it is included. Focus on Chapters 2-4.",2026-03-11 08:10
15,212,125,Can you share additional practice materials?,"Sure, I have uploaded materials to the class portal.",2026-03-12 09:17
16,213,126,Is there any makeup class for last week?,,2026-03-13 10:24
17,214,127,Could you clarify the assignment rubric?,Please follow the rubric posted yesterday.,2026-03-14 11:31
18,215,128,When will quiz results be published?,Results will be published by next Monday.,2026-03-15 12:38
19,216,139,Will this topic be included in the midterm?,,2026-03-16 13:45
20,217,140,Can you share additional practice materials?,"Sure, I have uploaded materials to the class portal.",2026-03-17 14:52
21,218,141,Is there any makeup class for last week?,Makeup class is on Thursday at 2 PM.,2026-03-18 15:59
22,219,142,Could you clarify the assignment rubric?,,2026-03-19 16:06
23,220,143,When will quiz results be published?,Results will be published by next Monday.,2026-03-20 17:13
24,221,164,Will this topic be included in the midterm?,"Yes, it is included. Focus on Chapters 2-4.",2026-03-21 08:20
25,222,144,Can you share additional practice materials?,,2026-03-22 09:27
26,223,145,Is there any makeup class for last week?,Makeup class is on Thursday at 2 PM.,2026-03-23 10:34
27,224,146,Could you clarify the assignment rubric?,Please follow the rubric posted yesterday.,2026-03-24 11:41
28,225,147,When will quiz results be published?,,2026-03-25 12:48
29,226,101,Will this topic be included in the midterm?,"Yes, it is included. Focus on Chapters 2-4.",2026-03-26 13:55
30,227,102,Can you share additional practice materials?,"Sure, I have uploaded materials to the class portal.",2026-03-27 14:02
31,228,103,Is there any makeup class for last week?,,2026-03-28 15:09
32,229,104,Could you clarify the assignment rubric?,Please follow the rubric posted yesterday.,2026-03-01 16:16
33,230,105,When will quiz results be published?,Results will be published by next Monday.,2026-03-02 17:23
34,231,133,Will this topic be included in the midterm?,,2026-03-03 08:30
35,232,134,Can you share additional practice materials?,"Sure, I have uploaded materials to the class portal.",2026-03-04 09:37
36,233,135,Is there any makeup class for last week?,Makeup class is on Thursday at 2 PM.,2026-03-05 10:44
37,234,136,Could you clarify the assignment rubric?,,2026-03-06 11:51
38,235,137,When will quiz results be published?,Results will be published by next Monday.,2026-03-07 12:58
39,236,101,Will this topic be included in the midterm?,"Yes, it is included. Focus on Chapters 2-4.",2026-03-08 13:05
40,237,149,Can you share additional practice materials?,,2026-03-09 14:12
41,238,150,Is there any makeup class for last week?,Makeup class is on Thursday at 2 PM.,2026-03-10 15:19
42,239,151,Could you clarify the assignment rubric?,Please follow the rubric posted yesterday.,2026-03-11 16:26
