1,201,test,Duration,Daily,1,0.0000,0,2026-03-11,0,
2,201,test2,Workout,Daily,1|10,0.0000|0,0,2026-03-11,0,pushups
3,201,Read textbook,Count,Daily,20,0,0,2026-03-11,0,pages
4,201,Focused study,Duration,Daily,90,0.0000,0,2026-03-11,0,
5,202,Read textbook,Count,Daily,20,0,0,2026-03-11,0,pages
6,202,Focused study,Duration,Daily,90,0.0000,0,2026-03-11,0,
7,203,Read textbook,Count,Daily,20,12,1,2026-03-06,0,pages
8,203,Focused study,Duration,Daily,90,50.9868,8,2026-03-06,0,
9,204,Read textbook,Count,Daily,20,6,4,2026-03-06,0,pages
10,204,Focused study,Duration,Daily,90,11.9283,5,2026-03-06,0,
11,205,Read textbook,Count,Daily,20,16,5,2026-03-06,0,pages
12,205,Focused study,Duration,Daily,90,38.8132,4,2026-03-06,0,
13,206,Read textbook,Count,Daily,20,17,4,2026-03-06,0,pages
14,206,Focused study,Duration,Daily,90,27.6264,8,2026-03-06,0,
15,207,Read textbook,Count,Daily,20,18,2,2026-03-06,0,pages
16,207,Focused study,Duration,Daily,90,12.1000,6,2026-03-06,0,
17,208,Read textbook,Count,Daily,20,8,1,2026-03-06,0,pages
18,208,Focused study,Duration,Daily,90,32.5395,2,2026-03-06,0,
19,209,Read textbook,Count,Daily,20,18,4,2026-03-06,0,pages
20,209,Focused study,Duration,Daily,90,87.5453,2,2026-03-06,0,
21,210,Read textbook,Count,Daily,20,12,3,2026-03-06,0,pages
22,210,Focused study,Duration,Daily,90,39.7737,8,2026-03-06,0,
23,211,Read textbook,Count,Daily,20,7,5,2026-03-06,0,pages
24,211,Focused study,Duration,Daily,90,84.9866,3,2026-03-06,0,
25,212,Read textbook,Count,Daily,20,0,4,2026-03-06,0,pages
26,212,Focused study,Duration,Daily,90,33.4902,1,2026-03-06,0,
27,213,Read textbook,Count,Daily,20,14,3,2026-03-06,0,pages
28,213,Focused study,Duration,Daily,90,82.9010,4,2026-03-06,0,
29,214,Read textbook,Count,Daily,20,13,6,2026-03-06,0,pages
30,214,Focused study,Duration,Daily,90,45.0956,0,2026-03-06,0,
31,215,Read textbook,Count,Daily,20,11,3,2026-03-06,0,pages
32,215,Focused study,Duration,Daily,90,57.8061,8,2026-03-06,0,
33,216,Read textbook,Count,Daily,20,15,1,2026-03-06,0,pages
34,216,Focused study,Duration,Daily,90,84.7104,6,2026-03-06,0,
35,217,Read textbook,Count,Daily,20,17,6,2026-03-06,0,pages
36,217,Focused study,Duration,Daily,90,52.6517,6,2026-03-06,0,
37,218,Read textbook,Count,Daily,20,9,5,2026-03-06,0,pages
38,218,Focused study,Duration,Daily,90,58.4280,2,2026-03-06,0,
39,219,Read textbook,Count,Daily,20,9,5,2026-03-06,0,pages
40,219,Focused study,Duration,Daily,90,60.8938,7,2026-03-06,0,
41,220,Read textbook,Count,Daily,20,6,1,2026-03-06,0,pages
42,220,Focused study,Duration,Daily,90,54.3772,1,2026-03-06,0,
43,230041106,demo,Duration,Daily,1,1.0000,1,2026-03-13,1,
